ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2730518,2,12/16/2016 8:43,12/16/2016 14:43,44.82146,-91.45438,44.81385,-91.455,0.527,At Willson Dr/Exit 89 - Accident.,,US-53 S,R,Altoona,Eau Claire,WI,54720,US,US/Central,KEAU,12/16/2016 8:56,7,-3.3,84,30.14,1.8,SE,5.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730519,2,12/16/2016 8:55,12/16/2016 14:55,44.83152,-91.45307,44.83802,-91.4432,0.66,At WI-312/North Xing/Exit 90 - Accident.,,US-53 N,R,Eau Claire,Eau Claire,WI,54703,US,US/Central,KEAU,12/16/2016 8:56,7,-3.3,84,30.14,1.8,SE,5.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730542,2,12/16/2016 10:00,12/16/2016 16:00,44.92062,-92.11101,44.92142,-92.12072,0.478,At CR-Q/Exit 32 - Accident.,,I-94 W,R,Knapp,Dunn,WI,54749,US,US/Central,KLUM,12/16/2016 9:55,8.6,0.1,81,30.08,3,ESE,4.6,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730549,2,12/16/2016 11:02,12/16/2016 17:02,44.38707,-91.00239,44.38904,-91.00642,0.241,At WI-95/Exit 105 - Accident.,,I-94 W,R,Hixton,Jackson,WI,54635,US,US/Central,KBCK,12/16/2016 10:55,12.7,,66,30.04,10,Calm,,,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2730602,2,12/16/2016 16:09,12/16/2016 22:09,44.83152,-91.45307,44.83802,-91.4432,0.66,At WI-312/North Xing/Exit 90 - Accident.,,US-53 N,R,Eau Claire,Eau Claire,WI,54703,US,US/Central,KEAU,12/16/2016 16:20,12,0.5,88,29.87,0.8,ENE,8.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2731084,4,12/21/2016 18:34,12/22/2016 0:34,45.163534,-91.136985,45.165153,-91.141228,0.235,Closed at 8th St - Road closed due to accident.,1235, Bridge St,L,Cornell,Chippewa,WI,54732-8239,US,US/Central,KRCX,12/21/2016 18:35,35.1,25.5,84,29.8,10,WNW,15,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2731086,4,12/21/2016 18:34,12/22/2016 0:34,45.165153,-91.141228,45.163534,-91.136985,0.235,Closed at South St - Road closed due to accident.,1017, Bridge St,L,Cornell,Chippewa,WI,54732-8239,US,US/Central,KRCX,12/21/2016 18:35,35.1,25.5,84,29.8,10,WNW,15,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2731099,4,12/21/2016 20:56,12/22/2016 2:56,44.9049,-91.86153,44.90502,-91.84898,0.614,Closed at CR-B/Exit 45 - Road closed due to accident.,,I-94 E,R,Menomonie,Dunn,WI,54751,US,US/Central,KLUM,12/21/2016 20:55,36.1,27.3,79,29.95,10,WNW,13.8,,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2731316,2,12/23/2016 14:15,12/23/2016 20:15,44.76582,-91.4544,44.76605,-91.46655,0.596,At WI-93/Exit 68 - Accident.,,I-94 W,R,Eau Claire,Eau Claire,WI,54701,US,US/Central,KEAU,12/23/2016 13:56,32,28.7,100,29.96,0.8,SSE,3.5,0.03,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2731629,2,12/29/2016 8:48,12/29/2016 14:48,44.93465,-92.28251,44.93336,-92.19109,4.472,Between CR-B/Exit 24 and WI-128/Exit 28 - Accident.,,I-94 E,R,Woodville,St. Croix,WI,54028,US,US/Central,KRNH,12/29/2016 8:55,29.3,17.3,75,29.84,10,WNW,17.3,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2732552,2,1/8/2017 13:29,1/8/2017 19:29,43.34875,-90.450332,43.348532,-90.451262,0.049,At Tuckaway Valley Rd - Accident.,21035, US Highway 14,R,Richland Center,Richland,WI,53581,US,US/Central,KLNR,1/8/2017 13:56,14,5.1,47,30.58,10,SSE,5.8,,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2732694,2,1/10/2017 5:11,1/10/2017 11:11,44.95178,-90.738577,44.951732,-90.746854,0.405,At Bachelors Ave - Accident.,,WI-29,R,Thorp,Clark,WI,54771,US,US/Central,KMDZ,1/10/2017 5:15,24.4,14.9,91,29.51,7,SE,9.2,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2732772,2,1/10/2017 10:22,1/10/2017 16:22,44.96444,-92.67473,44.964,-92.68634,0.568,At US-12/CR-U/Exit 4 - Accident.,,I-94 W,R,Hudson,St. Croix,WI,54016,US,US/Central,K21D,1/10/2017 10:13,28.4,24.6,93,29.35,0.8,NW,3.5,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2732837,2,1/10/2017 18:26,1/11/2017 0:26,44.02324,-90.50883,44.01962,-90.5,0.505,At US-12/Exit 143 - Accident.,,I-94 E,R,Tomah,Monroe,WI,54660,US,US/Central,KVOK,1/10/2017 18:19,21.2,3.5,80,29.53,10,West,27.6,,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-2732840,2,1/10/2017 18:33,1/11/2017 0:33,44.894246,-91.516584,44.8942,-91.526579,0.489,At CR-T/Exit 69 - Accident.,,WI-29 W,R,Eau Claire,Chippewa,WI,54703,US,US/Central,KEAU,1/10/2017 18:56,10.9,-6.5,70,29.68,10,West,17.3,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2732902,2,1/11/2017 8:44,1/11/2017 14:44,44.29396,-90.8199,44.29899,-90.82656,0.479,At WI-54/Exit 116 - Accident.,,I-94 W,R,Black River Falls,Jackson,WI,54615,US,US/Central,KBCK,1/11/2017 8:35,12.2,6.1,82,29.82,10,North,3.5,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2732943,4,1/11/2017 13:27,1/11/2017 19:27,44.77564,-92.41591,44.79447,-92.4111,1.322,Closed at River Falls - Road closed due to accident.,,N6449 US Highway 63,L,Beldenville,Pierce,WI,54003-5510,US,US/Central,KRGK,1/11/2017 13:35,10.4,-0.4,67,29.86,10,NNW,6.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2732945,4,1/11/2017 13:27,1/11/2017 19:27,44.79447,-92.4111,44.77564,-92.41591,1.322,Closed at WI-72 - Road closed due to accident.,,N6942 US Highway 63,R,Beldenville,Pierce,WI,54003-5510,US,US/Central,KRGK,1/11/2017 13:35,10.4,-0.4,67,29.86,10,NNW,6.9,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2733347,2,1/16/2017 2:56,1/16/2017 8:56,44.45568,-91.08898,44.46211,-91.09505,0.536,At WI-121/Exit 98 - Accident.,,I-94 W,R,Hixton,Jackson,WI,54635,US,US/Central,KBCK,1/16/2017 2:55,3.2,,82,30.24,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2733460,2,1/16/2017 18:57,1/17/2017 0:57,44.918416,-92.050091,44.91715,-92.083908,1.657,At CR-Q/Exit 32 - Accident.,,I-94 W,R,Knapp,Dunn,WI,54749,US,US/Central,KLUM,1/16/2017 18:55,31.1,27.7,83,30.03,5,NE,3.5,0.03,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2733462,4,1/16/2017 19:08,1/17/2017 1:08,44.070941,-91.614997,44.071912,-91.625769,0.539,Closed at WI-54/Spur Ln - Road closed due to accident.,,W419 State Road 35 54,L,Fountain City,Buffalo,WI,54629-7318,US,US/Central,KONA,1/16/2017 19:13,33.8,,93,30,3,Calm,,0.01,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2733463,4,1/16/2017 19:08,1/17/2017 1:08,44.071912,-91.625769,44.070941,-91.614997,0.539,Closed at Trempealeau Village of - Road closed due to accident.,,W475 State Road 35 54,L,Fountain City,Buffalo,WI,54629-7218,US,US/Central,KONA,1/16/2017 19:13,33.8,,93,30,3,Calm,,0.01,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2733478,4,1/16/2017 23:38,1/17/2017 5:38,45.39068,-91.75593,45.47847,-91.75989,6.069,Closed between US-8/Exit 135 and CR-O/Exit 140 - Road closed due to accident.,,US-53 N,R,Cameron,Barron,WI,54822,US,US/Central,KRPD,1/16/2017 23:35,30.7,24.9,83,29.98,7,NNE,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2733579,2,1/17/2017 13:37,1/17/2017 19:37,44.77841,-91.53228,44.77708,-91.52889,0.19,At WI-37/WI-85/Exit 65 - Accident.,,I-94 E,R,Eau Claire,Eau Claire,WI,54701,US,US/Central,KEAU,1/17/2017 13:56,37,,93,29.92,9,Calm,,,Overcast,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2733878,2,1/20/2017 14:00,1/20/2017 20:00,45.840516,-90.653485,45.840653,-90.6531,0.021,At Butternut Village of - Accident.,,W11588 State Highway 70,L,Park Falls,Price,WI,54552,US,US/Central,KPBH,1/20/2017 13:55,36.1,32.3,99,29.59,5,ESE,4.6,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2733945,4,1/22/2017 6:41,1/22/2017 12:41,45.4017,-91.909855,45.401591,-91.889412,0.992,Closed at CR-F/9th St - Road closed due to accident.,1148, 13 1/2 Ave,R,Barron,Barron,WI,54812-9124,US,US/Central,KRPD,1/22/2017 6:35,33.8,,100,29.61,7,Calm,,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-2733946,4,1/22/2017 6:41,1/22/2017 12:41,45.401591,-91.889412,45.4017,-91.909855,0.992,Closed at Prairie Farm Village of - Road closed due to accident.,1199, US Highway 8,L,Barron,Barron,WI,54812-9134,US,US/Central,KRPD,1/22/2017 6:35,33.8,,100,29.61,7,Calm,,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-2734362,4,1/26/2017 0:41,1/26/2017 6:41,43.87634,-91.20381,43.86385,-91.24055,2.023,Closed between US-53/WI-157/Exit 4 and US-53/WI-35/Exit 3 - Road closed due to accident.,,I-90 W,R,Onalaska,La Crosse,WI,54650,US,US/Central,KLSE,1/26/2017 0:53,32,23.6,73,29.78,10,NNW,10.4,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2734668,4,10/21/2016 18:36,10/22/2016 0:36,44.913329,-92.666474,44.919527,-92.672067,0.508,Closed at Cr-ff - Road closed due to accident.,353, State Road 35,R,River Falls,Pierce,WI,54022-8266,US,US/Central,K21D,10/21/2016 18:36,50,,62,30.08,10,SSE,5.8,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-2734781,2,10/24/2016 17:37,10/24/2016 23:37,44.19453,-90.64392,44.191175,-90.635984,0.456,At CR-O/Exit 128 - Accident.,,I-94 E,R,Black River Falls,Jackson,WI,54615,US,US/Central,KBCK,10/24/2016 17:35,54.3,,32,30.38,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2734802,4,10/25/2016 1:11,10/25/2016 7:11,46.601798,-92.11944,46.611712,-92.11937,0.685,Closed between Cr-c and Nemadji Loop Rd - Road closed due to accident.,4474, S State Road 35,R,Superior,Douglas,WI,54880-8052,US,US/Central,KSUW,10/25/2016 1:15,28.2,,96,30.42,10,Calm,,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2734803,4,10/25/2016 1:11,10/25/2016 7:11,46.611712,-92.11937,46.601798,-92.11944,0.685,Closed between Nemadji Loop Rd and Cr-c - Road closed due to accident.,4205, S State Road 35,L,Superior,Douglas,WI,54880-8051,US,US/Central,KSUW,10/25/2016 1:15,28.2,,96,30.42,10,Calm,,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2734871,4,10/25/2016 12:42,10/25/2016 18:42,45.285289,-91.11069,45.29919,-91.11076,0.96,Closed at WI-194/Cr-d - Road closed due to accident.,30506, State Highway 27,L,Holcombe,Chippewa,WI,54745-8705,US,US/Central,KRCX,10/25/2016 12:35,49.3,,56,30.45,10,East,8.1,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2734997,2,10/26/2016 14:00,10/26/2016 20:00,44.96374,-92.70105,44.96377,-92.6909,0.496,At WI-35/Exit 3 - Accident.,,US-12 E,R,Hudson,St. Croix,WI,54016,US,US/Central,K21D,10/26/2016 13:52,44.6,40.7,93,30.13,10,ENE,6.9,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735007,3,10/26/2016 15:48,10/26/2016 21:48,44.38707,-91.00239,44.38904,-91.00642,0.241,At WI-95/Exit 105 - Accident.,,I-94 W,R,Hixton,Jackson,WI,54635,US,US/Central,KBCK,10/26/2016 15:55,44.8,39.9,100,30.07,3,ENE,9.2,0.02,Drizzle,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735062,2,10/27/2016 4:45,10/27/2016 10:45,44.76709,-91.41424,44.76652,-91.42919,0.734,At US-53/Exit 70 - Accident.,,I-94 W,R,Eau Claire,Eau Claire,WI,54701,US,US/Central,KEAU,10/27/2016 4:56,39.9,35.8,89,30.22,10,East,5.8,,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-2735355,4,11/1/2016 9:02,11/1/2016 15:02,43.357568,-90.556519,43.343496,-90.517658,2.181,Closed between Soldiers Grove Village of and WI-56/WI-80/N Main St/W 6th St - Road closed due to accident.,15559, US Highway 14,L,Richland Center,Richland,WI,53581,US,US/Central,KLNR,11/1/2016 8:56,54,,97,29.85,0.2,Calm,,,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735356,4,11/1/2016 9:02,11/1/2016 15:02,43.343496,-90.517659,43.357568,-90.556519,2.181,Closed between WI-56/WI-80/N Main St/W 6th St and Soldiers Grove Village of - Road closed due to accident.,17448, US Highway 14,L,Richland Center,Richland,WI,53581,US,US/Central,KLNR,11/1/2016 8:56,54,,97,29.85,0.2,Calm,,,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735364,4,11/1/2016 10:23,11/1/2016 16:23,43.357568,-90.556519,43.34034,-90.52572,1.952,Closed at US-14 - Road closed due to accident.,15559, US Highway 14,L,Richland Center,Richland,WI,53581,US,US/Central,KLNR,11/1/2016 10:28,59,,93,29.89,7,WSW,5.8,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735365,4,11/1/2016 10:23,11/1/2016 16:23,43.34034,-90.52572,43.357568,-90.556519,1.952,Closed at Soldiers Grove Village of - Road closed due to accident.,17399, State Highway 171,R,Richland Center,Richland,WI,53581,US,US/Central,KLNR,11/1/2016 10:28,59,,93,29.89,7,WSW,5.8,,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735821,2,11/4/2016 19:20,11/5/2016 1:20,45.175936,-91.533726,45.172276,-91.529126,0.338,At WI-64/Exit 112 - Accident.,,US-53 S,R,Bloomer,Chippewa,WI,54724,US,US/Central,KEAU,11/4/2016 18:56,55,,64,30.28,6,Calm,,,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-2735840,4,11/5/2016 13:27,11/5/2016 19:27,44.55406,-90.63831,44.552063,-90.619161,0.953,Closed at WI-73/Grand Ave - Road closed due to accident.,,W6489 US Highway 10,R,Neillsville,Clark,WI,54456,US,US/Central,KMFI,11/5/2016 13:54,69.1,,38,30.25,10,West,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735841,4,11/5/2016 13:27,11/5/2016 19:27,44.552063,-90.619161,44.55406,-90.63831,0.953,Closed at CR-B (East) - Road closed due to accident.,,W6109 US Highway 10,L,Neillsville,Clark,WI,54456,US,US/Central,KMFI,11/5/2016 13:54,69.1,,38,30.25,10,West,5.8,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2735974,2,11/7/2016 17:12,11/7/2016 23:12,44.19453,-90.64392,44.191175,-90.635984,0.456,At CR-O/Exit 128 - Accident.,,I-94 E,R,Black River Falls,Jackson,WI,54615,US,US/Central,KBCK,11/7/2016 17:15,54.5,,61,30.16,10,Calm,,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-2736887,4,11/16/2016 14:02,11/16/2016 20:02,43.447242,-90.726211,43.448559,-90.720745,0.289,Closed at Espe Rd - Road closed due to accident.,,US Highway 14,R,Readstown,Vernon,WI,54652,US,US/Central,KY51,11/16/2016 13:55,57.2,,53,29.86,10,SE,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-2736888,4,11/16/2016 14:02,11/16/2016 20:02,43.448559,-90.720745,43.447242,-90.726211,0.289,Closed at Holcomb Rd - Road closed due to accident.,,US Highway 14,R,Readstown,Vernon,WI,54652,US,US/Central,KY51,11/16/2016 13:55,57.2,,53,29.86,10,SE,10.4,,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
