listed_price,bed_type,bathrooms,beds
119,Real Bed,1.5,2
270,Real Bed,1,2
375.000000000001,Real Bed,1,2
300,Real Bed,1,1
363,Real Bed,2,3
225,Real Bed,1,1
215,Real Bed,1,2
200,Real Bed,2,3
250,Real Bed,1,1
275.000000000001,Real Bed,1,2
784.999999999998,Real Bed,3,3
99,Real Bed,2,3
400,Real Bed,1,2
275.000000000001,Real Bed,1,2
210,Real Bed,1,1
200,Real Bed,1,1
82.9999999999999,Real Bed,1,1
99,Real Bed,1,4
229,Real Bed,1,1
125,Real Bed,1,2
209,Real Bed,1,3
99,Real Bed,1,1
325,Real Bed,1,4
99,Real Bed,2,4
350,Real Bed,2,4
199,Real Bed,2,2
270,Real Bed,1,2
245,Real Bed,1,2
180,Real Bed,1,1
99,Real Bed,1,2
45,Real Bed,1,1
255,Real Bed,2,3
89,Real Bed,1,1
129,Real Bed,1,2
505,Real Bed,2,3
129,Real Bed,1,2
129,Real Bed,1,2
119,Real Bed,1,2
129,Real Bed,1,2
398.999999999999,Real Bed,1.5,1
139,Real Bed,1,1
119,Real Bed,1,1
190,Real Bed,1,1
239,Real Bed,1,3
129,Real Bed,1,2
229,Real Bed,2,2
139,Real Bed,1,1
159,Real Bed,1,1
129,Real Bed,1,1
193,Real Bed,1.5,3
139,Real Bed,1,1
139,Real Bed,1,1
139,Real Bed,1,1
100,Real Bed,1,2
129,Real Bed,1,2
69,Real Bed,1,1
292,Real Bed,2,5
347,Real Bed,1,2
292,Real Bed,1,3
139,Real Bed,1,1
109,Real Bed,1,2
129,Real Bed,1,1
133,Real Bed,1,1
295,Real Bed,1,3
169,Real Bed,1,2
179,Real Bed,1,3
178,Real Bed,2,2
133,Real Bed,1,1
208,Real Bed,2,1
225,Real Bed,1,2
398.999999999999,Real Bed,2,7
175,Real Bed,1,2
170,Real Bed,1,1
99,Real Bed,1,1
129,Real Bed,1,1
209,Real Bed,1,1
176,Real Bed,2,2
800.000000000001,Real Bed,2,2
398.999999999999,Real Bed,2,2
179,Real Bed,2,2
92.9999999999999,Real Bed,1,1
311,Real Bed,1,2
179,Real Bed,2,2
95,Real Bed,1,1
225,Real Bed,1,2
350,Real Bed,1,1
329,Real Bed,2,6
275.000000000001,Real Bed,1,2
275.000000000001,Real Bed,2,3
177,Real Bed,2,2
190,Real Bed,1,2
179,Real Bed,2,2
571,Real Bed,1,1
225,Real Bed,1,3
134,Real Bed,1,1
119,Real Bed,2,3
99,Real Bed,1,1
174,Real Bed,2,2
176,Real Bed,2,2
130,Real Bed,1,1
295,Real Bed,1,3
558.000000000001,Real Bed,2,4
139,Real Bed,1,1
259,Real Bed,3,3
89.9999999999997,Real Bed,1,2
571,Real Bed,1,1
159,Real Bed,1,3
179,Real Bed,1,1
190,Real Bed,1.5,2
395,Real Bed,2,2
599,Real Bed,2,2
150,Real Bed,1,2
179,Real Bed,2,2
315,Real Bed,1,2
170,Real Bed,1,2
149,Real Bed,1.5,6
699.999999999999,Real Bed,3,3
179,Real Bed,2,2
349,Real Bed,1,1
295,Real Bed,1,2
300,Real Bed,1,2
129,Real Bed,1,1
800.000000000001,Real Bed,2,2
571,Real Bed,1,1
179,Real Bed,2,2
205,Real Bed,2,1
129,Real Bed,2,4
85,Real Bed,1,2
110,Real Bed,1,1
99,Real Bed,1,1
400,Real Bed,2,2
270,Real Bed,1,2
110,Real Bed,1,1
285.000000000001,Real Bed,1,2
169,Real Bed,1,4
209,Real Bed,1,1
280,Real Bed,2,3
249,Real Bed,1,1
295,Real Bed,1,3
179,Real Bed,1,3
136,Real Bed,1,1
349,Real Bed,1,2
225,Real Bed,1,1
290,Real Bed,1,2
389.000000000001,Real Bed,2,3
259,Real Bed,2,2
398.999999999999,Real Bed,2,7
149,Real Bed,1,3
599,Real Bed,2,2
196,Real Bed,1,2
150,Real Bed,1,1
279,Real Bed,1,1
245,Real Bed,1,2
139,Real Bed,1,1
500,Real Bed,2,4
298,Real Bed,1,2
311,Real Bed,1,2
275.000000000001,Real Bed,1,1
175,Real Bed,1,2
800.000000000001,Real Bed,2,2
152,Real Bed,1,1
800.000000000001,Real Bed,2,2
800.000000000001,Real Bed,2,2
300,Real Bed,2,3
299,Real Bed,1,3
140,Real Bed,1,1
135,Real Bed,1,1
125,Real Bed,1,1
147,Real Bed,1,3
135,Real Bed,1,2
89,Real Bed,1,1
195,Real Bed,1,2
185,Real Bed,1,1
210,Real Bed,1,1
147,Real Bed,1,3
125,Real Bed,1,1
425,Real Bed,1.5,3
249,Real Bed,2,4
165,Real Bed,1,1
175,Real Bed,1,3
175,Real Bed,1,1
99,Real Bed,1,2
395,Real Bed,1.5,3
199,Real Bed,1,2
149,Real Bed,1,3
150,Real Bed,1,1
145,Real Bed,1,1
130,Real Bed,1,1
995,Real Bed,2,7
125,Real Bed,1,1
147,Real Bed,1,1
159,Real Bed,2,3
225,Real Bed,1,2
159,Real Bed,1,1
300,Real Bed,1,2
169,Real Bed,1,2
100,Real Bed,1,1
240,Real Bed,1,1
225,Real Bed,1,3
185,Real Bed,1,2
250,Real Bed,1,1
200,Real Bed,1,1
200,Real Bed,1.5,2
249,Real Bed,2,4
267,Real Bed,1,2
159,Real Bed,1,2
199,Real Bed,1,2
185,Real Bed,1,1
160,Real Bed,1,1
115,Real Bed,1,1
149,Real Bed,1,3
159,Real Bed,1,1
137,Real Bed,1,2
165,Real Bed,1,2
99,Real Bed,1,2
144,Real Bed,1,1
200,Real Bed,1,2
559,Real Bed,1,1
137,Real Bed,1,3
135,Real Bed,1,1
150,Real Bed,1,3
109,Real Bed,1,3
225,Real Bed,1,2
100,Couch,1,1
139,Real Bed,1,4
199,Real Bed,1,4
129,Real Bed,1,1
195,Real Bed,1,1
125,Real Bed,1,4
155,Real Bed,1,2
169,Real Bed,2,3
225,Real Bed,1,1
175,Real Bed,1,1
160,Real Bed,1,1
180,Real Bed,1,1
255,Real Bed,2,2
160,Real Bed,1,1
149,Real Bed,1,1
175,Real Bed,1,1
383,Real Bed,1.5,3
125,Real Bed,1,1
88,Real Bed,1,1
285.000000000001,Real Bed,1.5,2
120,Real Bed,1,1
149,Real Bed,1,3
99,Real Bed,1,3
220,Real Bed,1,2
299,Real Bed,3,4
225,Real Bed,1,3
275.000000000001,Real Bed,1,3
219,Real Bed,1,3
129,Real Bed,1,3
80,Real Bed,1,2
149,Real Bed,1,3
118,Real Bed,1,1
79,Real Bed,1,1
249,Real Bed,2,4
79,Real Bed,1,1
108,Real Bed,1,1
50,Real Bed,2,1
192,Real Bed,1,1
199,Real Bed,1,3
125,Real Bed,1,1
150,Real Bed,1,1
99,Real Bed,1,2
125,Real Bed,1,1
250,Real Bed,1,1
99,Real Bed,1,1
200,Real Bed,1,4
125,Real Bed,1,1
137,Real Bed,1,4
169,Real Bed,1,2
305,Real Bed,2,2
199,Real Bed,1,2
99,Real Bed,1,2
159,Pull-out Sofa,1,1
179,Real Bed,1,2
149,Real Bed,1,3
150,Real Bed,1,1
175,Real Bed,1,1
235,Real Bed,1,2
185,Real Bed,1,2
169,Real Bed,1,2
169,Real Bed,1,1
571,Real Bed,1,1
174,Real Bed,2,2
128,Real Bed,1,2
250,Real Bed,1,2
240,Real Bed,1,2
150,Real Bed,1,2
200,Real Bed,1,1
175,Real Bed,1,2
69,Real Bed,1,2
185,Real Bed,1,2
195,Real Bed,1,2
342.000000000001,Real Bed,2,2
99,Real Bed,1,1
293,Real Bed,2,3
85,Real Bed,1,1
225,Real Bed,1,1
331,Real Bed,2,4
250,Real Bed,1,1
171,Real Bed,2,1
199,Real Bed,1,1
130,Real Bed,1,1
300,Real Bed,2,2
395,Real Bed,1,1
143,Real Bed,1,1
175,Real Bed,2,1
299,Real Bed,1.5,3
147,Real Bed,1,2
189,Real Bed,1,2
180,Real Bed,1,1
197,Real Bed,1,1
289,Real Bed,2,3
99,Real Bed,1,1
429,Real Bed,2,2
139,Real Bed,1,1
649.999999999999,Real Bed,2,2
189,Real Bed,2,2
200,Real Bed,1,1
230,Real Bed,1.5,2
299,Real Bed,1,2
95,Real Bed,1,2
80,Real Bed,1,1
184,Real Bed,2,2
129,Real Bed,1,2
249,Real Bed,1,1
200,Real Bed,1,1
125,Real Bed,2,1
170,Real Bed,1,2
125,Real Bed,1,2
429,Real Bed,2,2
130,Real Bed,1,1
186,Real Bed,2,2
295,Real Bed,1,2
219,Real Bed,1,1
189,Real Bed,2,2
229,Real Bed,1,1
166,Real Bed,1,3
179,Real Bed,1,2
380,Real Bed,1,2
225,Real Bed,1,2
209,Real Bed,1,2
89.9999999999997,Real Bed,1,1
390,Real Bed,1,1
100,Real Bed,1,1
201,Real Bed,1,1
325,Real Bed,1,3
361,Real Bed,1,2
120,Real Bed,1,2
150,Real Bed,1,1
196,Real Bed,1,1
185,Real Bed,1,2
125,Real Bed,1,1
103,Airbed,1,2
189,Real Bed,1,2
111,Real Bed,1,1
162,Real Bed,1,2
175,Real Bed,2,2
190,Real Bed,1,1
181,Real Bed,1,1
169,Real Bed,1,2
600,Real Bed,2,5
130,Real Bed,1,1
349,Real Bed,2,2
275.000000000001,Real Bed,2,3
160,Real Bed,1,1
110,Real Bed,1,1
150,Real Bed,1,2
320,Real Bed,1,2
175,Real Bed,1,1
250,Real Bed,1,2
195,Real Bed,1,4
200,Real Bed,1,1
220,Real Bed,1,2
185,Real Bed,1,1
190,Real Bed,1,1
159,Real Bed,1,1
429,Real Bed,2,2
127,Real Bed,1,1
140,Real Bed,1,1
260,Real Bed,1,1
300,Real Bed,2,2
750,Real Bed,2.5,3
219,Real Bed,1,2
200,Real Bed,1,2
514,Real Bed,2,2
299,Real Bed,1.5,2
134,Real Bed,1,1
169,Real Bed,1,2
250,Real Bed,1,3
181,Real Bed,2,2
89.9999999999997,Real Bed,1,1
100,Real Bed,1,1
84,Real Bed,1,1
190,Real Bed,1,1
246,Real Bed,1,2
149,Real Bed,1,2
324,Real Bed,1,3
130,Real Bed,1,1
159,Real Bed,1,2
120,Real Bed,1,1
800.000000000001,Real Bed,2,2
220,Real Bed,2,3
85,Real Bed,1,2
229,Real Bed,1,1
155,Real Bed,1,1
220,Real Bed,1,2
175,Real Bed,1,1
80,Real Bed,1,1
175,Real Bed,2,3
92,Real Bed,1,1
295,Real Bed,1,1
179,Real Bed,1,1
330.000000000001,Real Bed,1,2
250,Real Bed,1,1
349,Real Bed,2,2
300,Real Bed,1,2
160,Real Bed,1,1
89,Real Bed,1,1
150,Real Bed,1,1
180,Real Bed,1,1
375.000000000001,Real Bed,1.5,2
58,Real Bed,1,1
136,Real Bed,1,1
250,Real Bed,1,1
199,Real Bed,1,2
116,Real Bed,1,1
299,Real Bed,1,1
125,Real Bed,1,2
140,Real Bed,1,1
337,Real Bed,2,3
235,Real Bed,1,1
105,Real Bed,1,2
199,Real Bed,1,1
80,Real Bed,1,2
201,Real Bed,1,1
89,Pull-out Sofa,1,1
275.000000000001,Real Bed,1,1
149,Real Bed,2,2
199,Real Bed,1,2
200,Real Bed,1,1
259,Real Bed,1,1
105,Real Bed,1,1
250,Real Bed,1,2
228,Real Bed,1,1
201,Real Bed,1,1
117,Real Bed,1,1
78,Pull-out Sofa,1,1
180,Real Bed,1,1
337,Real Bed,2,3
125,Real Bed,1,1
133,Real Bed,1,2
200,Real Bed,1,1
75,Real Bed,1,1
140,Real Bed,1,1
85,Real Bed,1,1
200,Real Bed,1,1
219,Real Bed,1,1
439.000000000001,Real Bed,2,3
81,Real Bed,1,1
249,Real Bed,2,2
130,Real Bed,1,1
275.000000000001,Real Bed,1,2
130,Real Bed,1,1
189,Real Bed,1,2
149,Real Bed,2,2
125,Real Bed,1,2
260,Real Bed,1,1
339,Real Bed,1,2
750,Real Bed,3.5,6
246,Real Bed,1,2
200,Real Bed,1,1
210,Real Bed,1,1
129,Real Bed,1,1
199,Real Bed,1,3
200,Real Bed,3,3
225,Real Bed,1,2
305,Real Bed,1.5,2
99,Real Bed,2,2
108,Real Bed,1,1
159,Real Bed,2,3
769,Real Bed,1.5,3
145,Real Bed,1,1
188,Real Bed,1,1
150,Real Bed,1,2
200,Real Bed,1,2
155,Real Bed,1,3
220,Real Bed,1,2
299,Real Bed,1,1
184,Real Bed,1,1
195,Real Bed,1,1
200,Real Bed,1.5,1
145,Real Bed,1,1
89,Real Bed,1.5,1
89,Real Bed,1,1
85,Real Bed,1,1
89.9999999999997,Real Bed,1,1
150,Real Bed,1,1
300,Real Bed,1,2
200,Real Bed,1,1
199,Real Bed,1,1
98,Real Bed,1,1
79,Couch,1,1
85.9999999999998,Real Bed,1,1
398.999999999999,Real Bed,2.5,3
170,Real Bed,1,1
65,Real Bed,1,1
189,Real Bed,1,2
249,Real Bed,1,1
129,Real Bed,1,1
56,Real Bed,1.5,1
97,Real Bed,1,1
75,Real Bed,NA,1
149,Real Bed,1,1
186,Real Bed,2,2
105,Real Bed,1,2
80,Real Bed,1,1
247,Real Bed,1,1
140,Real Bed,1,1
169,Real Bed,1,1
110,Real Bed,1,1
50,Real Bed,1,1
160,Futon,1,1
92.9999999999999,Real Bed,2,1
250,Real Bed,1,3
245,Real Bed,1,1
99,Real Bed,1,1
173,Real Bed,1,2
120,Real Bed,1,1
200,Real Bed,1,1
150,Real Bed,1,2
109,Real Bed,1,1
150,Real Bed,1,1
155,Real Bed,1,2
79,Real Bed,1,2
67,Real Bed,1,1
250,Real Bed,1,2
129,Real Bed,1,1
175,Real Bed,1,1
300,Real Bed,1,2
400,Real Bed,1,1
140,Real Bed,1,1
150,Real Bed,1,1
285.000000000001,Real Bed,1,1
260,Real Bed,1,1
350,Real Bed,1,3
265,Real Bed,1,1
160,Real Bed,1,2
250,Real Bed,1.5,2
155,Real Bed,1,2
250,Real Bed,1,1
50,Real Bed,1,1
150,Real Bed,1,1
120,Real Bed,1,2
150,Real Bed,1,1
872,Real Bed,1,1
177,Real Bed,2,2
85,Real Bed,1,1
143,Real Bed,1,2
316.999999999999,Real Bed,1,2
160,Real Bed,1,2
185,Real Bed,2,3
135,Real Bed,1,1
175,Real Bed,1,1
60,Real Bed,1,1
150,Real Bed,1,1
169,Real Bed,1,1
100,Real Bed,1,1
165,Real Bed,1,1
100,Real Bed,1,2
40,Real Bed,1,1
100,Real Bed,1,1
69,Real Bed,NA,NA
145,Real Bed,1,1
65,Real Bed,1,1
250,Real Bed,1,5
120,Real Bed,1,2
45,Real Bed,1,1
69,Real Bed,NA,1
69,Real Bed,1,1
209,Real Bed,1,1
169,Real Bed,1,1
195,Real Bed,1,2
135,Real Bed,1,1
300,Real Bed,1.5,1
100,Real Bed,1,2
285.000000000001,Real Bed,1,2
165,Real Bed,1,2
400,Real Bed,1,3
80,Real Bed,1,1
50,Real Bed,1,1
152,Real Bed,1,1
100,Real Bed,1,1
165,Real Bed,1,2
349,Real Bed,1,2
200,Real Bed,1,2
229,Real Bed,2,3
218,Real Bed,1,1
175,Real Bed,1,1
85,Real Bed,1,2
170,Real Bed,1,2
99,Real Bed,1,1
56,Real Bed,1,1
188,Real Bed,2,3
170,Real Bed,1,2
85,Real Bed,1,1
300,Real Bed,1,1
350,Real Bed,1.5,1
181,Real Bed,1,1
259,Real Bed,1,2
95,Airbed,1,1
179,Real Bed,1,1
159,Real Bed,1,3
98,Real Bed,1,1
110,Real Bed,1,1
60,Real Bed,1,1
75,Real Bed,NA,1
200,Real Bed,1,1
833,Real Bed,1,1
200,Real Bed,1,1
149,Real Bed,1,1
172,Real Bed,1,1
123,Real Bed,1,2
190,Real Bed,1,1
60,Real Bed,1,1
120,Real Bed,1,1
325,Real Bed,1,4
158,Real Bed,1,2
265,Real Bed,1,1
249,Real Bed,1,1
199,Real Bed,1,1
109,Real Bed,1,2
199,Real Bed,1,1
300,Real Bed,1,2
245,Real Bed,1,1
169,Real Bed,1,1
225,Real Bed,2,3
999,Real Bed,3,4
150,Real Bed,1,1
52,Real Bed,0.5,1
77,Real Bed,1,1
170,Real Bed,1,2
100,Real Bed,1,1
237,Real Bed,1,2
300,Real Bed,1,2
350,Real Bed,1,1
190,Real Bed,1,2
300,Real Bed,1,2
100,Real Bed,1,3
170,Real Bed,1,1
169,Real Bed,1,1
161,Real Bed,1,1
89.9999999999997,Real Bed,1,2
159,Real Bed,1,2
80,Real Bed,1,1
88,Real Bed,1,1
280,Real Bed,1,2
249,Real Bed,1,2
1275,Real Bed,2,1
175,Real Bed,1,1
106,Real Bed,1,1
275.000000000001,Real Bed,1,1
250,Real Bed,1,1
160,Real Bed,1,1
60,Real Bed,1,1
185,Real Bed,2,2
425,Real Bed,2,2
195,Real Bed,1,2
170,Real Bed,1,1
161,Real Bed,1,1
175,Real Bed,2,2
698.999999999999,Real Bed,1,1
75,Real Bed,1,1
176,Real Bed,1,3
89.9999999999997,Real Bed,1,1
140,Real Bed,1,1
76,Real Bed,1,1
85,Real Bed,1,2
88,Real Bed,1,1
375.000000000001,Real Bed,2,5
175,Real Bed,1,1
199,Real Bed,1,2
98,Real Bed,1,1
216,Real Bed,1,1
251,Real Bed,1,1
200,Real Bed,1,1
595,Real Bed,1,1
325,Real Bed,1,1
110,Real Bed,1,1
185,Real Bed,1,1
149,Real Bed,1,1
190,Real Bed,1,1
198,Real Bed,2,1
200,Real Bed,1,1
150,Real Bed,1,1
129,Real Bed,1,2
225,Real Bed,1,1
129,Real Bed,1,1
600,Real Bed,2,2
200,Real Bed,1,2
275.000000000001,Real Bed,1.5,1
514,Real Bed,1,1
189,Real Bed,1,1
398.999999999999,Real Bed,1.5,2
139,Real Bed,1,1
200,Real Bed,1,1
189,Real Bed,2,2
200,Real Bed,1,2
77,Real Bed,1.5,1
250,Real Bed,1,3
235,Real Bed,1,1
80,Real Bed,1,1
170,Real Bed,1,1
230,Real Bed,1,1
135,Real Bed,1,1
169,Real Bed,1,1
89,Real Bed,2,1
189,Real Bed,1,1
207,Real Bed,1,1
175,Real Bed,1,1
179,Real Bed,2,2
230,Real Bed,1,1
200,Real Bed,1,1
85.9999999999998,Real Bed,1,1
170,Real Bed,1,1
150,Real Bed,1,1
135,Real Bed,1,1
175,Real Bed,1,1
300,Real Bed,1.5,3
139,Real Bed,1,1
209,Real Bed,1,1
450,Real Bed,1,1
135,Real Bed,1,1
85,Real Bed,1,1
88,Real Bed,1,1
158,Real Bed,1,2
209,Real Bed,1,2
186,Real Bed,1,2
200,Real Bed,1,2
275.000000000001,Real Bed,1.5,2
115,Real Bed,1,1
350,Real Bed,1.5,2
99,Real Bed,1,1
200,Real Bed,1,1
259,Real Bed,1,1
150,Real Bed,1,1
200,Real Bed,1,1
160,Real Bed,1,1
125,Real Bed,1,3
139,Real Bed,1,1
139,Real Bed,1,1
250,Real Bed,1,2
199,Real Bed,1,2
429,Real Bed,2,4
159,Real Bed,1,1
1250,Real Bed,3.5,3
350,Real Bed,2.5,9
150,Real Bed,1,1
170,Real Bed,2,1
119,Real Bed,1,1
280,Real Bed,1,1
149,Real Bed,1,1
249,Real Bed,1,1
250,Real Bed,1,1
175,Real Bed,1,1
120,Real Bed,1,1
89.9999999999997,Real Bed,1,1
177,Real Bed,2,2
108,Real Bed,1,1
175,Real Bed,2,2
195,Real Bed,1,1
500,Real Bed,2.5,4
185,Real Bed,1,1
603.000000000001,Real Bed,3,3
200,Real Bed,1,1
110,Real Bed,1,1
225,Real Bed,1,2
160,Real Bed,1,2
250,Real Bed,1,3
174,Real Bed,1,1
170,Real Bed,1,2
300,Real Bed,1.5,2
159,Real Bed,1,2
162,Real Bed,1,3
134,Real Bed,1,1
225,Real Bed,1,1
99,Real Bed,1,1
165,Real Bed,1,1
249,Real Bed,1,1
187,Real Bed,1,2
152,Real Bed,1,1
203,Real Bed,1,2
571,Real Bed,1,1
159,Real Bed,1,2
99,Couch,1,1
350,Real Bed,2.5,2
175,Real Bed,1,1
236,Real Bed,1,5
250,Real Bed,1,2
450,Real Bed,2,3
550,Real Bed,2,2
250,Real Bed,1,1
150,Real Bed,1,1
200,Real Bed,1,1
176,Real Bed,1,1
315,Real Bed,2,3
200,Real Bed,1,1
267,Real Bed,1,2
225,Real Bed,1,1
185,Real Bed,1,3
160,Real Bed,1.5,1
215,Real Bed,1,1
129,Real Bed,1,2
67,Real Bed,1,1
225,Real Bed,1,1
1250,Real Bed,2,2
184,Real Bed,2,2
209,Real Bed,1,2
289,Real Bed,1,2
350,Real Bed,1,2
329,Real Bed,1,2
330.000000000001,Real Bed,2,3
329,Real Bed,1,2
129,Real Bed,1,1
97,Real Bed,1,1
153,Real Bed,1,1
149,Real Bed,1,2
479,Real Bed,0.5,2
150,Real Bed,1,1
125,Real Bed,1,1
300,Real Bed,1,2
189,Real Bed,2,2
400,Real Bed,2,3
109,Real Bed,1,0
160,Real Bed,1.5,3
398.999999999999,Real Bed,1.5,2
103,Real Bed,1,1
225,Real Bed,1,1
200,Real Bed,1,1
70,Real Bed,1,1
200,Real Bed,1,1
800.000000000001,Real Bed,2,2
199,Real Bed,1,3
175,Real Bed,1,1
350,Real Bed,1,3
189,Real Bed,1,2
250,Real Bed,1,1
359,Real Bed,1.5,2
215,Real Bed,1,1
350,Real Bed,1,2
199,Real Bed,1,2
368,Real Bed,2,3
250,Real Bed,1,1
147,Real Bed,1,2
199,Real Bed,1,2
100,Real Bed,1,1
170,Real Bed,1,1
175,Real Bed,2,2
550,Real Bed,2,4
120,Real Bed,1,1
400,Real Bed,1,1
158,Real Bed,1,1
60,Real Bed,1,1
225,Real Bed,1,2
275.000000000001,Real Bed,1,1
300,Real Bed,2,3
199,Real Bed,1,1
600,Real Bed,1,1
191,Real Bed,1,1
79,Real Bed,1,3
136,Real Bed,1,1
275.000000000001,Real Bed,1,1
166,Real Bed,1,1
259,Real Bed,1,1
389.000000000001,Real Bed,2,3
180,Real Bed,1,2
179,Real Bed,1,2
525,Real Bed,3.5,7
200,Real Bed,1,1
129,Real Bed,1,1
259,Real Bed,1,1
499,Real Bed,2,3
95,Airbed,1,1
350,Real Bed,1,1
135,Real Bed,1,1
150,Real Bed,1,2
100,Real Bed,1,1
102,Real Bed,1,1
159,Real Bed,1,1
109,Real Bed,1,2
389.000000000001,Real Bed,1.5,2
568.000000000001,Real Bed,1,3
182,Real Bed,1,2
250,Real Bed,1,1
189,Real Bed,1,2
160,Real Bed,1,1
200,Real Bed,1,1
150,Real Bed,1,1
120,Real Bed,1,2
349,Real Bed,1,2
680,Real Bed,1.5,2
165,Real Bed,1,2
120,Real Bed,1,1
107,Real Bed,1,1
249,Real Bed,1,1
189,Real Bed,1,2
200,Real Bed,1,2
89.9999999999997,Real Bed,2,1
239,Real Bed,1,2
144,Real Bed,1,2
129,Real Bed,1,2
139,Real Bed,1,2
200,Real Bed,1,2
100,Real Bed,1,1
350,Real Bed,1,1
149,Real Bed,1,2
150,Real Bed,1,1
215,Real Bed,1,3
200,Real Bed,1,1
175,Real Bed,1,1
139,Real Bed,1,1
380,Real Bed,2.5,3
81.9999999999999,Real Bed,1,1
145,Real Bed,1,1
129,Real Bed,1,1
195,Real Bed,1,2
150,Real Bed,1,2
220,Real Bed,1,2
200,Real Bed,1,1
229,Real Bed,1,1
175,Real Bed,1.5,2
189,Real Bed,1,1
185,Real Bed,1,1
229,Real Bed,1,2
170,Real Bed,1,1
299,Real Bed,1,3
174,Real Bed,1,2
350,Real Bed,1,2
229,Real Bed,1,2
200,Real Bed,1,1
281,Real Bed,2,2
275.000000000001,Real Bed,2,2
175,Real Bed,1,1
125,Real Bed,1,1
146,Real Bed,1,1
200,Real Bed,1,1
95,Real Bed,1,1
200,Real Bed,1,1
299,Real Bed,1,3
114,Real Bed,1,1
275.000000000001,Real Bed,1,1
150,Real Bed,1.5,1
450,Real Bed,2,3
179,Real Bed,1,2
280,Real Bed,2,2
105,Real Bed,1,1
350,Real Bed,1,2
279,Real Bed,1,1
191,Real Bed,1,2
298,Real Bed,1,1
155,Real Bed,2,1
179,Real Bed,1,1
595,Real Bed,1,1
99,Real Bed,1,1
149,Real Bed,1,1
179,Real Bed,1,1
189,Real Bed,2,2
110,Real Bed,1,1
99,Real Bed,2,1
200,Real Bed,1,1
189,Real Bed,1,2
300,Airbed,1,1
216,Real Bed,1,1
145,Real Bed,1,1
150,Real Bed,1,1
185,Real Bed,1,1
218,Real Bed,1,2
250,Real Bed,1,1
549,Real Bed,2,2
119,Real Bed,1.5,1
79,Real Bed,1,2
100,Real Bed,1,1
180,Real Bed,1,1
175,Real Bed,1,1
80,Real Bed,1,1
200,Real Bed,1,1
129,Real Bed,1,1
229,Real Bed,1,1
400,Real Bed,1,2
150,Real Bed,1,1
125,Real Bed,1.5,2
99,Real Bed,1,2
65,Real Bed,1,1
167,Real Bed,1,2
195,Real Bed,1,2
138,Real Bed,1,1
199,Real Bed,1,3
185,Real Bed,1,2
175,Real Bed,1,1
250,Real Bed,1,1
150,Real Bed,1,2
116,Real Bed,1,1
167,Real Bed,1,2
45,Real Bed,1,1
200,Real Bed,2,5
200,Real Bed,1,3
150,Real Bed,1.5,1
80,Real Bed,1,1
75,Real Bed,1,1
