order_id,customer_id,purchased_at,purchase_month,purchase_day_of_week,customer_state,customer_city,customer_zip_prefix,item_count,distinct_product_count,distinct_seller_count,distinct_category_count,item_value_brl,freight_value_brl,payment_record_count,payment_type_count,maximum_installments,payment_value_brl,review_record_count,mean_review_score,delivery_days,days_late_vs_estimate,delivered_late
ord_3699eaccc0c30388a8ab43c0,cus_502944f262ea2e166b68de25,2017-11-15 21:57:32,11,3,SP,sao jose do rio preto,15057,1,1,1,1,126.90,14.62,1,1,1,141.52,1,5.0,13,-10,false
ord_6c4d8cb8b7e416f83cc25439,cus_1231ce0ae794381829f1305a,2017-09-09 14:53:45,9,6,SP,osasco,06070,1,1,1,1,52.37,9.34,1,1,3,61.71,1,1.0,11,-9,false
ord_4faa176a6a66ad5eba5632e0,cus_7b458940e6af89ee44775934,2017-03-02 00:16:18,3,4,SP,sao paulo,04038,1,1,1,1,89.90,9.62,1,1,1,99.52,1,5.0,5,-14,false
ord_0d1cf8e2377826f4fbe490d4,cus_cf932fb8bab788113d655bab,2017-11-21 23:43:12,11,2,RJ,rio de janeiro,23520,1,1,1,1,166.99,23.49,1,1,2,190.48,1,4.0,17,1,true
ord_0cb2479e08f7d4d8f9643a33,cus_5b638f72d14e8fa0b588d33d,2017-06-21 12:47:04,6,3,SP,santos,11015,1,1,1,1,525.00,27.73,1,1,1,552.73,1,3.0,2,-11,false
ord_4f0ece3293dba52218ca6a29,cus_0f11dbf87b053b6063c41a81,2017-11-11 16:59:40,11,6,SP,sao paulo,04675,2,2,2,2,183.43,34.79,1,1,1,218.22,1,3.0,10,-13,false
ord_71055f82d6bc0f80ffb33986,cus_a01f61698057ef3a0cea161e,2017-05-30 22:46:05,5,2,MG,sao jose da lapa,33350,1,1,1,1,214.90,17.75,1,1,1,232.65,1,1.0,15,-15,false
ord_4e26f510d702551232297095,cus_a66c681410b4adebb77b6490,2017-09-05 21:31:49,9,2,SP,marilia,17519,1,1,1,1,149.90,21.54,1,1,3,171.44,,,8,-13,false
ord_b14aee4bd55e5742a2aab3eb,cus_7fa8ecdef14a5447f67ed59c,2017-12-31 13:49:49,12,0,SP,igarapava,14540,1,1,1,1,177.90,16.00,1,1,7,193.90,1,5.0,16,-16,false
ord_9128b0263efba1a16a84568f,cus_1fff8f41e4c0b37d489fb7a7,2017-09-20 15:37:43,9,3,SP,sao paulo,05021,1,1,1,1,39.99,7.78,1,1,1,47.77,1,5.0,2,-13,false
ord_f12bc361b47b28f2a57ea22d,cus_d79e226ace2ebad3808ef744,2017-08-04 11:42:37,8,5,SP,sao jose dos campos,12247,1,1,1,1,59.55,13.44,1,1,2,72.99,1,4.0,7,-13,false
ord_fa15551b31ad545c509da0f9,cus_9bd88cfddb8839270151fc75,2017-11-25 23:17:35,11,6,SP,sao paulo,05083,1,1,1,1,255.00,22.63,1,1,3,277.63,1,4.0,4,-22,false
ord_90f3715fbda342f64f7afd00,cus_823f271b25ae9295c6476e8b,2017-06-29 20:51:39,6,4,MG,varginha,37004,1,1,1,1,50.40,15.10,1,1,1,65.50,1,2.0,14,-8,false
ord_093bdf6e51985b17abc31fc0,cus_4e9e4dbd5ad17ef53d6c35c1,2017-11-25 17:09:27,11,6,MG,juiz de fora,36046,1,1,1,1,89.99,26.25,5,2,9,116.24,1,4.0,13,-7,false
ord_50e591bcb5ae5405b36a6348,cus_f6c046fa08c9df6fb6563287,2017-10-10 12:38:30,10,2,SP,campinas,13090,2,1,1,1,49.98,15.56,1,1,1,65.54,1,1.0,3,-10,false
ord_499d35430eb9dcb078989af0,cus_a05d035bbc5891f920b97200,2017-11-24 15:05:45,11,5,SP,tapinas,14907,1,1,1,1,89.99,45.09,1,1,10,135.08,1,2.0,14,-13,false
ord_1cbbbe1a7c5b486f4dd09a34,cus_daf89880be1d4c8414bdb028,2017-11-28 22:24:18,11,2,SP,jaguariuna,13820,10,2,1,1,1099.70,340.40,1,1,24,1440.10,1,1.0,6,-14,false
ord_ea8615668d395f6d0cd54060,cus_5f713dcd541fa855b6053617,2017-11-09 00:27:43,11,4,RJ,rio de janeiro,20780,2,1,1,1,45.98,14.10,1,1,1,60.08,1,2.0,13,-7,false
ord_2e1055d2abf613ffd2e8cc6e,cus_25c1302b41f12f6530306793,2017-09-12 14:20:45,9,2,SP,mairipora,07600,1,1,1,1,136.77,15.71,1,1,5,152.48,1,5.0,3,-18,false
ord_134caf61655b61d6fe75ef04,cus_04368c044bcb46245314dbca,2017-03-20 13:45:06,3,1,SP,sao caetano do sul,09571,1,1,1,1,35.90,14.52,1,1,1,50.42,1,5.0,3,-25,false
ord_e01cf116530f4882cecc3ba6,cus_5e0f37387fa053bd4c663ea8,2017-08-02 21:21:21,8,3,RJ,nova iguacu,26278,1,1,1,1,29.00,14.10,1,1,1,43.10,1,5.0,7,-15,false
ord_e1557356e4762cf464636ba6,cus_8a4e15bcb1256d355087137b,2017-03-22 15:57:01,3,3,SP,osasco,06233,1,1,1,1,39.90,17.19,2,2,1,57.09,1,4.0,12,-14,false
ord_7a571d5de4487e61b15b9c11,cus_b566b03d59c41860b3adee49,2017-11-27 13:49:21,11,1,MG,monte siao,37580,1,1,1,1,325.00,13.77,1,1,1,338.77,1,4.0,16,-5,false
ord_3304cd6fa10350852cd19da2,cus_ec87994271e22dfdcd6c29e2,2017-11-08 21:35:07,11,3,SP,guaruja,11436,1,1,1,1,119.90,13.86,1,1,1,133.76,1,5.0,15,-5,false
ord_1b93711b2f0329636c8be025,cus_737768c8bea3d1434dbe0eef,2017-10-12 23:10:36,10,4,SP,teodoro sampaio,19280,1,1,1,1,149.99,14.07,1,1,1,164.06,1,4.0,11,-8,false
ord_ea3370b8c623fc8093d1430a,cus_1e2e6e6e2b65e0c8b5ee86ee,2017-06-18 23:19:13,6,0,SP,ourinhos,19913,1,1,1,1,238.90,21.64,1,1,10,260.54,1,5.0,9,-10,false
ord_71d866f3d10b1a5cebc19741,cus_4fb15c7ce03566b45c68b7f9,2017-03-21 19:42:03,3,2,SP,guarulhos,07132,1,1,1,1,45.49,10.96,1,1,2,56.45,1,5.0,6,-11,false
ord_9e427a352c1d1a42a59da17f,cus_014ffbf2b2de14979eb8680b,2017-07-17 06:54:05,7,1,SP,sao jose do rio preto,15035,1,1,1,1,174.92,14.24,1,1,9,189.16,1,1.0,64,46,true
ord_7f36076098302678256826da,cus_47c7d31aa720b5d817f96f90,2017-08-16 23:37:36,8,3,SP,sao paulo,04269,1,1,1,1,59.90,15.18,1,1,3,75.08,1,5.0,8,-15,false
ord_b5a5999edeec72edf0c7d0da,cus_78f077b07f29af05dc74761d,2017-11-23 19:17:08,11,4,RJ,valenca,27600,1,1,1,1,46.40,13.23,1,1,5,59.63,1,5.0,8,-12,false
ord_24b6cb0688005d4f5620decb,cus_6e5637d4e6d5d7c99627738a,2017-07-28 13:47:16,7,5,RJ,rio das ostras,28893,1,1,1,1,75.00,21.02,1,1,3,96.02,1,5.0,12,-12,false
ord_a2e537a988cffcf6c9478b05,cus_fa243f91d2c513e7e85fe531,2017-03-21 21:46:48,3,2,SP,sao paulo,05814,1,1,1,1,39.99,8.72,1,1,1,48.71,1,1.0,4,-13,false
ord_13054cc1cf91701e6e1b4601,cus_21fcd5fb1240961eb8822e82,2017-04-03 11:47:47,4,1,SP,tambau,13710,1,1,1,1,34.99,10.96,1,1,1,45.95,1,5.0,14,-7,false
ord_1982dcca391b89c579e9ba37,cus_342f944e63b3beb63f23ff67,2017-10-08 19:20:19,10,0,SP,barueri,06410,4,1,1,1,119.60,50.76,1,1,1,170.36,1,5.0,5,-18,false
ord_e60b0961fef42d20c0768b15,cus_52e16dc7af76db5788439b85,2017-10-03 14:44:56,10,2,MG,barroso,36212,3,1,1,1,212.70,45.75,1,1,1,258.45,1,1.0,8,-21,false
ord_ee181870792b0ab3423b2588,cus_f21a8e5ecdafa7f4eed79d98,2017-05-14 18:11:07,5,0,SP,francisco morato,07991,1,1,1,1,69.00,14.23,1,1,2,83.23,1,4.0,9,-10,false
ord_13a5e37d6963f60ac0ebe34f,cus_796ff2b030dfd1fe2be2b72b,2017-11-27 09:52:44,11,1,SP,francisco morato,07914,1,1,1,1,27.99,7.78,1,1,1,35.77,1,5.0,7,-8,false
ord_0293f95d74a879c6002b74c9,cus_b7f6e33feb32f5bdee983f17,2017-04-24 18:46:23,4,1,SP,sao paulo,03626,1,1,1,1,99.99,9.69,1,1,2,109.68,1,5.0,18,1,true
ord_fc8b134c3fcf02c9e5c1688d,cus_ce6b478714b60f020be96603,2017-12-29 15:30:54,12,5,SP,sao paulo,02072,4,4,1,1,67.60,31.12,1,1,6,98.72,1,5.0,7,-13,false
ord_9f9d8854d733a4792f3706a4,cus_4171b78fe5b7a822544ecd79,2017-10-22 19:50:22,10,0,SP,sao paulo,03191,1,1,1,1,89.90,16.39,1,1,3,106.29,1,4.0,12,-7,false
ord_c5f1887699a792276201b6a6,cus_f69c301ec5f04faed9e53f9a,2017-09-19 23:18:38,9,2,MG,lagoa santa,33400,1,1,1,1,79.00,15.99,1,1,3,94.99,1,4.0,8,-14,false
ord_70ece5416a558e86511834b0,cus_902b3233fc93eef2ed9fa13c,2017-10-25 16:29:45,10,3,SP,barueri,06472,1,1,1,1,89.90,36.14,1,1,1,126.04,1,2.0,16,-3,false
ord_937862cb2bfcc893d03d899a,cus_30e7759bb3d09380a880c5c2,2017-11-29 19:01:25,11,3,MG,uberlandia,38412,1,1,1,1,19.90,15.10,1,1,1,35.00,1,4.0,21,-6,false
ord_24d8de8d78ab95ce3c5fd707,cus_f7bb28b87fee4f85f8206f5e,2017-02-24 18:23:10,2,5,SP,sao paulo,05872,1,1,1,1,39.99,15.56,1,1,5,55.55,1,5.0,17,-8,false
ord_f0ff52c22a036de39be8cbf2,cus_e048cc82496468ca7dfe7906,2017-11-28 16:26:20,11,2,MG,uruana de minas,38630,1,1,1,1,17.90,15.10,1,1,1,33.00,1,4.0,21,-3,false
ord_de11cc5cd5492f3ce54d3e1b,cus_ee84c794c1bce9f29e33d7ab,2017-06-20 22:16:33,6,2,RJ,rio de janeiro,22071,1,1,1,1,349.90,44.87,1,1,10,394.77,1,3.0,16,-6,false
ord_f3414fc898d2a665713fe854,cus_cd985485fe2d68284387fb11,2017-12-23 01:23:00,12,6,MG,ituiutaba,38300,3,2,2,2,124.70,47.32,2,2,1,172.01,1,5.0,11,-21,false
ord_915ffc6eb1714539f0d7b126,cus_50b1272e42a1a4e0c34cb166,2017-11-24 00:25:57,11,5,SP,sao paulo,01424,1,1,1,1,31.90,14.10,1,1,1,46.00,1,5.0,22,-11,false
ord_5366aaff7e5b741f69b741be,cus_d200eef95e9e661a8212d9a4,2017-11-19 13:23:08,11,0,RJ,rio de janeiro,22733,1,1,1,1,89.90,21.12,1,1,1,111.02,1,5.0,24,5,true
ord_a4d2818984a43f2bc9f9f0ee,cus_e6dddb9f431e939bc39179eb,2017-04-24 17:08:07,4,1,SP,botucatu,18609,1,1,1,1,89.90,11.24,1,1,5,101.14,1,5.0,9,-9,false
ord_5a5f404c141958d830e7dd1b,cus_2159fa4391dbccdd0b4c1a65,2017-09-01 18:40:11,9,5,MG,sete lagoas,35703,1,1,1,1,58.99,16.66,1,1,7,75.65,1,5.0,11,-10,false
ord_2765e6ddd0e2da7399391af6,cus_3db9c54185d8de29e6a6ad2c,2017-12-17 22:36:30,12,0,SP,araraquara,14800,1,1,1,1,129.99,17.62,1,1,2,147.61,1,4.0,17,-8,false
ord_af06981c5b3ec6c2df4ce834,cus_ab30339a6753793156ae17b4,2017-12-30 08:45:09,12,6,MG,itajuba,37500,1,1,1,1,49.90,11.85,1,1,6,61.75,1,4.0,16,-11,false
ord_0e1ba95b374823a51203bc18,cus_e465f10194cb0ec398170020,2017-06-22 19:29:40,6,4,SP,sao paulo,02169,1,1,1,1,59.90,14.13,1,1,2,74.03,1,1.0,18,5,true
ord_3d2fbe7bf4f819651965499c,cus_6ec10c891dfade77877679a9,2017-12-09 20:44:18,12,6,RJ,sao goncalo,24440,1,1,1,1,49.99,16.92,1,1,1,66.91,1,4.0,19,-11,false
ord_e308be1841f75f09353e35eb,cus_11c3b86e5bcfb6645e4e3680,2017-01-31 17:15:33,1,2,SP,mogi mirim,13802,1,1,1,1,64.99,11.06,1,1,3,76.05,1,5.0,10,-21,false
ord_361f15a9de6c2bd3cf254606,cus_913270a5d278664ada8c9fa8,2017-01-27 14:01:20,1,5,SP,tatui,18270,4,1,1,1,119.96,18.00,1,1,1,137.96,1,5.0,6,-29,false
ord_7ee06a4e0ea5a18f28f7a229,cus_b814c8f34cdb52580d2dfe25,2017-07-24 14:53:34,7,1,MG,belo horizonte,30320,1,1,1,1,31.90,8.11,1,1,1,40.01,1,5.0,7,-4,false
ord_ab5d75b0204e9571ba2dae00,cus_8c201a629724fd68a43bf293,2017-11-22 14:14:38,11,3,MG,belo horizonte,30775,1,1,1,1,69.90,19.73,1,1,6,89.63,1,4.0,19,-3,false
ord_bda169ef5c6a8223026dce83,cus_ae36b2fa81c1ccfc41ef829e,2017-09-22 19:46:46,9,5,SP,sao paulo,01122,1,1,1,1,399.99,11.61,1,1,8,411.60,1,5.0,4,-13,false
ord_25813be76c73fe9ea0dadf61,cus_02573c7f6d89e083965c30dd,2017-10-23 08:53:31,10,1,MG,carangola,36800,1,1,1,1,19.99,15.10,1,1,1,35.09,1,3.0,8,-14,false
ord_0065817503d9c7239e70492f,cus_2dac36cf3f76c08e07099e24,2017-11-29 15:44:44,11,3,SP,sao paulo,03332,1,1,1,1,82.95,8.33,1,1,1,91.28,1,5.0,3,-11,false
ord_49cf54c7946e9ccdf6882a08,cus_35c883d62425feae987e81dc,2017-12-07 10:00:07,12,4,RJ,rio de janeiro,21240,1,1,1,1,299.00,23.96,1,1,15,322.96,1,5.0,22,-6,false
ord_03c79033d08cc85922741618,cus_4f5c4c0676fd25d119355b1d,2017-10-11 15:17:38,10,3,MG,bonito de minas,39490,1,1,1,1,99.99,15.45,1,1,1,115.44,1,4.0,26,-2,false
ord_0d8abb6963685a640a69e9d3,cus_6a8ba962e1f988512c36b033,2017-07-08 16:34:52,7,6,SP,jau,17209,1,1,1,1,118.90,14.56,1,1,1,133.46,1,5.0,10,-14,false
ord_c1438b336fda57b58c151ee5,cus_2bc46670bf2a05719ad0d969,2017-10-29 16:05:41,10,0,MG,paracatu,38600,1,1,1,1,19.99,15.10,1,1,1,35.09,1,5.0,8,-17,false
ord_cf77eb6924d29087a82003b1,cus_0bf47e4b3abb0fe99305b266,2017-08-29 23:01:58,8,2,RJ,volta redonda,27260,1,1,1,1,429.90,36.37,1,1,3,466.27,1,3.0,6,-21,false
ord_a9c54c3ef771c28e565f1f6c,cus_4c7760e675f2f9d3c34a869a,2017-12-02 17:47:12,12,6,SP,taubate,12090,1,1,1,1,39.90,15.10,1,1,1,55.00,1,5.0,16,-16,false
ord_505d901582d2d120c75d8444,cus_47c0753a5f82843a62efa6ee,2017-12-11 13:19:49,12,1,SP,cubatao,11533,1,1,1,1,104.00,13.75,1,1,4,117.75,1,5.0,15,-9,false
ord_90499b4686679e8da1c7c8d4,cus_26248b8a872a0329d84ce0ef,2017-09-15 11:44:50,9,5,RJ,arraial do cabo,28930,1,1,1,1,159.00,23.98,1,1,1,182.98,1,5.0,18,-8,false
ord_784da2cbc1b90ae57fb01e7f,cus_fab9312cbe5355e561bfa17f,2017-10-26 14:42:55,10,4,MG,teofilo otoni,39801,1,1,1,1,669.99,20.45,1,1,8,690.44,1,5.0,11,-11,false
ord_65504577a4cafe02cf5c51f9,cus_466a5b80251c3b8b732e4593,2017-05-06 12:16:19,5,6,SP,mogi-guacu,13845,1,1,1,1,181.55,18.60,1,1,4,200.15,1,5.0,12,-11,false
ord_7dfd746fd7b1eed8ea734247,cus_bf29c9a319ff7ce5849f546a,2017-05-23 17:42:48,5,2,MG,ravena,34740,1,1,1,1,69.99,16.74,1,1,1,86.73,1,5.0,8,-16,false
ord_242d73f1d9329cb06a62d2a9,cus_28a8e49f74ba519c8570e722,2017-10-22 10:53:02,10,0,MG,betim,32604,1,1,1,1,49.99,15.10,1,1,1,65.09,1,5.0,9,-16,false
ord_acc02f3854d96b94f281ebe1,cus_3f2451c1cd1a53192a0883a0,2017-08-23 18:38:22,8,3,SP,taubate,12010,1,1,1,1,55.00,11.89,1,1,6,66.89,1,5.0,5,-16,false
ord_3978d121d6f536b58b7fe255,cus_25d1e86f48410331d15dec72,2017-07-04 19:08:30,7,2,RJ,sao goncalo,24475,1,1,1,1,99.99,16.95,1,1,2,116.94,,,10,-12,false
ord_75a34a1d59ed6082a3a92cf1,cus_ff5b07154655f3b28a241614,2017-03-12 22:32:20,3,0,MG,belo horizonte,31615,1,1,1,1,219.90,16.30,1,1,1,236.20,1,5.0,8,-15,false
ord_0e9a44eb614320762e136583,cus_fc231d15185345a49a79890c,2017-12-11 13:56:03,12,1,SP,sao jose dos campos,12234,1,1,1,1,79.90,9.37,1,1,1,89.27,1,5.0,9,-8,false
ord_aa7ef2b122167745546479f4,cus_b7708ae4f6241b1cc9bcc83e,2017-09-20 18:12:02,9,3,SP,jundiai,13212,1,1,1,1,49.00,7.78,1,1,1,56.78,1,2.0,12,3,true
ord_cb44f4efae3f4206195d246c,cus_384073f7e8e2aa30dab9f187,2017-07-17 15:14:19,7,1,SP,sao paulo,04150,5,3,1,1,307.98,62.52,1,1,10,370.51,1,1.0,4,-14,false
ord_f64fd30fb02a5039a6450166,cus_b565211ebfdb072345fbb3cb,2017-03-27 22:28:00,3,1,SP,guarulhos,07077,1,1,1,1,17.99,10.96,1,1,1,28.95,1,5.0,4,-17,false
ord_5643620b2e41860954842595,cus_7a0531fa3b2aa5de4130b204,2017-08-17 18:02:19,8,4,SP,carapicuiba,06365,1,1,1,1,59.90,7.78,1,1,1,67.68,1,5.0,13,0,true
ord_0743014ec1d185c7cc2da4ad,cus_6b1a1b9ea3762c2470a4ffe3,2017-05-19 19:08:46,5,5,MG,arapora,38465,1,1,1,1,220.00,16.29,1,1,4,236.29,1,5.0,17,-8,false
ord_a56164b3c5de92b03e2c05af,cus_32c289c335eadf132dbbf451,2017-07-07 01:32:08,7,5,SP,sao paulo,03818,1,1,1,1,65.00,12.79,1,1,1,77.79,1,5.0,6,-14,false
ord_e2e317e6ec4c14948f7ea9a5,cus_bd4e5332555a7d5120c0ca09,2017-06-29 10:45:42,6,4,SP,santo antonio de posse,13830,1,1,1,1,89.90,34.79,1,1,1,124.69,1,5.0,5,-8,false
ord_41dffba0a1be8e6b99a15173,cus_87ba9a51e296c925ea9bb22e,2017-11-07 08:53:13,11,2,SP,monte aprazivel,15150,1,1,1,1,24.50,11.85,1,1,1,36.35,1,5.0,17,-3,false
ord_36954e4fd0139202402ecda5,cus_a49b951f969a05c9f082d758,2017-11-29 15:35:02,11,3,MG,conselheiro pena,35240,1,1,1,1,21.99,15.10,1,1,1,37.09,1,5.0,9,-14,false
ord_f5bb0fe1ac23fceb5ce75523,cus_875bb9368e7aa9485f69c615,2017-11-02 19:46:06,11,4,SP,pindamonhangaba,12441,1,1,1,1,49.90,12.48,1,1,2,62.38,1,1.0,12,-15,false
ord_8c4fdd49424379f1b37c3d78,cus_925271867476f649b7cfa2c7,2017-08-03 09:05:52,8,4,MG,belo horizonte,31210,1,1,1,1,69.90,9.74,1,1,1,79.64,1,5.0,4,-9,false
ord_d5a6624077d0366ea5d4d8ad,cus_13a78581b3fb85cbbe141158,2017-09-04 20:37:42,9,1,MG,divinolandia de minas,39735,1,1,1,1,50.50,25.19,1,1,1,75.69,1,5.0,10,-12,false
ord_8d6b1d507ceafe7f56b646ca,cus_326130184ffe973d85c5e596,2017-08-05 19:30:41,8,6,RJ,campos dos goytacazes,28083,1,1,1,1,12.88,15.10,1,1,2,27.98,1,5.0,11,-13,false
ord_d06eb7e2371016f1c760e706,cus_907295c9e1d3046cb164d021,2017-09-29 12:42:40,9,5,MG,itabirito,35450,1,1,1,1,49.00,16.11,1,1,1,65.11,1,5.0,12,-15,false
ord_add7a0499e43727eb31446a8,cus_27d4a9c929884c104af56cab,2017-08-18 13:19:58,8,5,SP,pitangueiras,14750,1,1,1,1,42.00,11.85,1,1,1,53.85,1,5.0,14,-10,false
ord_74ac396a27166db12a13e4b9,cus_8f0f6b4e3f9ea1c40712d832,2017-05-18 23:35:29,5,4,MG,pouso alegre,37550,1,1,1,1,199.99,34.32,1,1,4,234.31,1,4.0,6,-16,false
ord_e8e3a0ecd0310b5e47e2ccd5,cus_0fe9c79dc6c9bf8b51d79daa,2017-07-02 12:01:17,7,0,SP,sao manuel,18650,1,1,1,1,66.89,17.72,2,2,1,84.61,1,5.0,10,-13,false
ord_f21e8908bf07baf14c1a4728,cus_f3bccb319f7075e315cdc351,2017-11-05 01:22:08,11,0,SP,barueri,06447,1,1,1,1,169.00,17.89,1,1,5,186.89,1,5.0,4,-15,false
ord_38a4bcc7b14a6b0d5f625ae8,cus_e39aab775b19113c3c0eda78,2017-03-14 16:25:43,3,2,SP,sao paulo,04508,1,1,1,1,87.37,10.79,1,1,1,98.16,1,4.0,20,-7,false
ord_4eeb5382ebb343a95f5ac0cd,cus_b5b83a9ecbfc80613fa1f84f,2017-09-24 08:52:18,9,0,SP,limeira,13480,1,1,1,1,134.90,12.44,1,1,1,147.34,1,4.0,9,-14,false
ord_676a15c32db24ee5abae617d,cus_59db25d844bb7694c202219d,2017-08-13 19:57:41,8,0,MG,alfenas,37136,2,1,1,1,39.98,30.20,1,1,1,70.18,1,1.0,8,-15,false
ord_16f2436522ce0b87fe8ad611,cus_6c2fdd1c03543e6f575fae7f,2017-03-16 14:20:09,3,4,SP,mairipora,07600,1,1,1,1,138.90,14.74,1,1,1,153.64,1,5.0,5,-14,false
ord_47bacf39bfe35d903e80bf7e,cus_27d06e2f3d4d5fe79ac39989,2017-11-12 20:29:28,11,0,SP,sao caetano do sul,09530,1,1,1,1,38.40,9.34,1,1,1,47.74,1,4.0,11,-5,false
ord_dbfffcbe3617b8fdffe5eff0,cus_33352a7e31cd21961c0df1ab,2017-11-21 15:27:11,11,2,SP,sao paulo,03192,2,1,1,1,150.00,26.16,1,1,3,176.16,1,3.0,3,-10,false
ord_70bc4ef95b43745d8362161b,cus_e48ee50a746c4a8cb6f16cfd,2017-02-04 10:33:24,2,6,RJ,pinheiral,27197,1,1,1,1,249.90,71.48,1,1,6,321.38,1,5.0,10,-21,false
ord_e9e4b1312f791973e15031dc,cus_79f851cd8e9df80f57a2d052,2017-08-08 21:39:54,8,2,SP,osasco,06065,1,1,1,1,200.00,15.01,1,1,10,215.01,1,5.0,3,-12,false
ord_6581eb2bd1d549b267aa6c37,cus_fd0af7507f9a8197df5df7ed,2017-09-17 22:21:47,9,0,SP,jacarei,12324,1,1,1,0,39.90,15.10,1,1,5,55.00,1,4.0,8,-9,false
ord_89af0c012050b77fde49d023,cus_0a7dc33affd158c84140c6fd,2017-12-23 21:39:19,12,6,SP,santo andre,09180,1,1,1,1,115.00,16.44,1,1,1,131.44,1,3.0,6,-21,false
ord_06590dadec3a909ecd204ab1,cus_8e5a9acca6d44f811e6d1248,2017-11-17 13:00:16,11,5,SP,sao bernardo do campo,09661,1,1,1,1,27.99,7.78,1,1,1,35.77,1,4.0,6,-7,false
ord_c4be221e6a3f8478585e2f2a,cus_61c6d961529690391c41113d,2017-11-15 19:47:04,11,3,SP,taubate,12060,1,1,1,1,89.90,17.88,1,1,2,107.78,,,31,5,true
ord_f8fb379700da5eac6617d04a,cus_c77016a6f7d681d1ea18478e,2017-06-12 10:17:43,6,1,SP,sao bernardo do campo,09844,1,1,1,1,129.00,8.16,1,1,6,137.16,1,3.0,3,-11,false
ord_4bf1edb9639352c07a5e3164,cus_e1daef07a1916a41e0d22961,2017-12-13 13:58:18,12,3,SP,mococa,13731,1,1,1,1,49.99,11.85,1,1,1,61.84,1,3.0,15,-11,false
ord_acd52a258f8fa9a6bdffae25,cus_cac35a3f4ff8d3dac8a3af4f,2017-06-02 12:26:55,6,5,SP,sao paulo,03560,1,1,1,0,27.90,16.60,1,1,1,44.50,1,5.0,10,-15,false
ord_cc59261bac59a99357f8e13d,cus_7ac764780349a3869d6e1cd3,2017-04-01 10:44:01,4,6,SP,sao paulo,01025,1,1,1,1,1654.44,18.23,1,1,1,1672.67,1,5.0,5,-12,false
ord_081ad48fc07485dbecda8236,cus_f99a2fc8e05956f369e92141,2017-11-24 22:54:41,11,5,MG,ipatinga,35162,1,1,1,1,87.85,17.86,1,1,1,105.71,1,5.0,21,-3,false
ord_2a1258d9b3c487f0f6248c25,cus_8ce7886a59e06f02a60534e9,2017-07-19 15:14:19,7,3,RJ,rio de janeiro,20972,1,1,1,1,32.90,17.60,1,1,1,50.50,1,5.0,7,-15,false
ord_93cc959f53b39db3581735b4,cus_d9d7c47367b400c6f61ba124,2017-06-09 19:19:11,6,5,SP,mogi das cruzes,08745,2,1,1,1,59.98,17.44,1,1,3,77.42,1,1.0,5,-9,false
ord_b3452cf2485e6bf12e4ecc69,cus_6cd380d61b2d348f6575af3c,2017-03-16 14:41:46,3,4,SP,hortolandia,13188,6,4,1,1,194.00,50.00,1,1,4,244.00,1,3.0,20,-41,false
