order_id,purchase_date,customer_state,order_status,item_count,distinct_category_count,item_value_brl,freight_value_brl,payment_type_count,maximum_installments,mean_review_score,delivery_days,delivered_late
ord_554b57f86b2cd38a6378272e,2018-06-02,MG,delivered,1,1,98.00,18.57,1,8,1.0,10,false
ord_aef5d5a7ad88824a8afad496,2018-06-13,MG,delivered,1,1,39.99,13.62,1,1,1.0,2,false
ord_95574a6f75c0765c938b796b,2018-06-18,MG,delivered,1,1,52.90,23.17,1,7,5.0,10,false
ord_da4a2632fb6b7322136358c0,2018-06-21,MG,delivered,1,1,89.90,19.82,1,3,5.0,7,false
ord_4c89f291ad947449ac2ad489,2018-06-25,MG,delivered,2,1,179.80,70.96,1,4,1.0,4,false
ord_5cdef4a2ed27d8a64cb74d2e,2018-06-25,MG,delivered,1,1,89.50,15.70,1,1,5.0,8,false
ord_3bd6e1599b062076e8cdd3b5,2018-06-30,MG,delivered,1,1,35.90,15.32,1,1,4.0,9,false
ord_17f8a6fd5abb026b9bf2bd8e,2018-07-18,MG,delivered,1,1,118.99,27.13,1,2,5.0,12,false
ord_0c00a8f28285b222843b6eb8,2018-07-19,MG,delivered,1,1,65.00,18.56,1,3,5.0,11,false
ord_feabe0385ab1d7107d853622,2018-07-20,MG,delivered,1,1,197.90,24.15,1,3,1.0,11,false
ord_9f1345ecd9308ac7930eb7d3,2018-07-23,MG,delivered,2,1,169.98,36.80,1,4,4.0,9,false
ord_b520d482374bdfd78a688004,2018-07-23,MG,delivered,1,1,19.90,19.33,1,3,1.0,8,false
ord_999ac8dbaa2cc2d543144642,2018-07-24,MG,delivered,1,1,70.00,31.36,1,10,5.0,7,false
ord_29d960dfcd493fcc33c3bf36,2018-07-27,MG,delivered,1,1,118.80,9.34,1,5,5.0,4,false
ord_50174d9318668f397c0041c4,2018-07-28,MG,delivered,1,1,119.00,17.96,1,3,5.0,10,false
ord_12983285085b549379274e0c,2018-08-02,MG,delivered,1,1,49.00,18.44,1,1,3.0,7,false
ord_9ec9b535e60b045df3595d72,2018-08-04,MG,delivered,3,1,255.27,70.43,1,10,1.0,3,false
ord_e39f3d198b9200d802daf3b1,2018-08-08,MG,delivered,1,1,32.00,16.41,1,1,5.0,7,false
ord_21c116988245a631d31eeb1e,2018-08-10,MG,delivered,2,1,278.00,38.14,1,3,2.0,17,false
ord_2061d5b4fb38743a88e52852,2018-08-19,MG,delivered,1,1,24.90,14.47,1,1,5.0,5,false
ord_653fdd75b3d8847ecb42c4e6,2018-08-20,MG,delivered,1,1,49.90,19.54,1,1,3.0,10,false
ord_c0b453f59d9eaf423d029b9b,2018-08-20,MG,delivered,2,1,1300.00,78.00,1,8,5.0,9,false
ord_450e025b50752dde066eb105,2018-08-22,MG,delivered,1,1,36.94,15.36,1,1,5.0,6,false
ord_176ff614dada36900329341e,2018-08-24,MG,delivered,1,1,219.00,45.33,1,1,5.0,6,false
ord_fed4b9623b2a323cd32464af,2017-01-26,PR,delivered,1,1,89.57,15.39,1,1,5.0,13,false
ord_7c5a20d9766602f4493d058c,2017-02-05,PR,delivered,1,1,25.00,14.52,1,1,1.0,10,false
ord_9d142d1df3d50286637ad06b,2017-02-05,PR,delivered,2,1,256.98,46.71,1,10,4.0,18,false
ord_812369cf46f5dfc5c3d9bd21,2017-03-03,PR,delivered,1,1,19.00,14.52,1,3,1.0,14,false
ord_4f8e0a16e42a82bc60ddef60,2017-03-07,PR,delivered,1,1,18.99,16.05,1,2,5.0,8,false
ord_4ce7c53d416774a5e46554cf,2017-06-11,PR,delivered,1,1,44.90,35.84,1,9,5.0,23,false
ord_004287daafcbbe0d430d7b20,2017-06-18,PR,delivered,1,1,199.90,17.88,1,1,5.0,8,false
ord_6eed850b026e6f27495044fe,2017-06-18,PR,delivered,1,1,134.90,21.43,1,8,3.0,11,false
ord_7d20f232b7a32dfcd36bb218,2017-06-27,PR,delivered,1,1,329.00,17.06,1,10,5.0,2,false
ord_6ed47946b4ab4d52684defa8,2017-07-09,PR,delivered,1,1,104.99,14.46,1,1,5.0,8,false
ord_ed43f2a35a60dcfd8b287be8,2017-07-15,PR,delivered,1,1,179.90,17.02,1,1,5.0,9,false
ord_f537474939d2c8fabf498ef1,2017-07-19,PR,delivered,1,1,129.99,18.16,1,7,5.0,8,false
ord_c1151853ded09caf359bb616,2017-07-21,PR,delivered,1,1,139.90,16.74,1,7,5.0,11,false
ord_465383b7292be28cbf67474a,2017-07-31,PR,delivered,1,1,49.90,15.10,1,6,1.0,11,false
ord_262d93f18b1ca5ef4fd1c7d9,2017-08-07,PR,delivered,1,1,58.99,17.66,1,3,5.0,11,false
ord_b1ae9126cf8d89ca38346e60,2017-08-24,PR,delivered,1,1,69.90,16.25,2,1,5.0,11,false
ord_07879336c1c7338b75e554f6,2017-08-30,PR,delivered,1,1,35.90,16.11,1,1,5.0,7,false
ord_9bfee0e536ffd58038628ae2,2017-09-01,PR,delivered,1,1,466.00,23.75,1,1,4.0,13,false
ord_035f62f7d6f60c1877ea264e,2017-09-11,PR,delivered,1,1,69.90,16.25,1,1,4.0,21,false
ord_6f31c4efc9894853874b9d81,2017-09-22,PR,delivered,1,1,129.99,18.16,1,2,5.0,10,false
ord_1d3b454b689777e1cacfd267,2017-09-25,PR,delivered,1,1,99.00,16.94,1,1,4.0,7,false
ord_7ca05c7d37e53dcc8316b777,2017-09-29,PR,delivered,1,1,59.90,15.17,1,2,5.0,7,false
ord_552c61de03a21d6f1b2fbf89,2017-09-30,PR,delivered,1,1,18.90,12.48,1,3,2.0,9,false
ord_a8762fae7f5ba7ef7187f7b4,2017-10-21,PR,delivered,1,1,169.99,13.32,1,2,5.0,6,false
ord_df89b5dbba56d5fa51e5ed98,2017-10-24,PR,delivered,1,1,88.60,20.11,1,2,5.0,27,true
ord_7453c67c6ee60d6833f57a9f,2017-11-02,PR,delivered,2,1,37.98,15.10,1,3,5.0,6,false
ord_8d4136ee6a6695850e045c27,2017-11-06,PR,delivered,1,1,44.90,16.11,1,2,5.0,14,false
ord_68255d5d83542f6a0fa9615c,2017-11-09,PR,delivered,1,1,39.90,16.60,1,5,5.0,11,false
ord_4a8c94dd85c6f1a30fee5315,2017-11-16,PR,delivered,2,1,299.80,43.08,1,1,5.0,8,false
ord_3edae0d2c59d3d55950085e6,2017-11-21,PR,delivered,1,1,146.00,15.77,1,1,5.0,7,false
ord_f6cfc4dbd97a1e78cb830103,2017-11-23,PR,delivered,2,1,219.80,31.04,1,1,5.0,11,false
ord_424e546a8d8242e363bd8435,2017-11-24,PR,delivered,1,1,78.90,9.97,1,1,4.0,4,false
ord_70bcf5d942fc5d20df623ba9,2017-11-24,PR,delivered,1,1,49.95,15.10,1,2,3.0,22,false
ord_f00062ba6ffbe3f3ac01cb87,2017-11-24,PR,delivered,1,1,49.00,17.60,1,1,4.0,18,false
ord_9547ce87e2386697c510af03,2017-11-25,PR,delivered,1,1,82.99,17.83,1,10,5.0,21,false
ord_2e2f36b191abafed625e2957,2017-12-06,PR,delivered,1,1,28.90,14.10,1,1,5.0,7,false
ord_38605ec34af5767ff0c091aa,2017-12-08,PR,delivered,1,1,99.00,15.45,1,10,5.0,38,true
ord_509ee60ddf7baeb137c94846,2017-12-15,PR,delivered,1,1,74.90,15.27,1,1,5.0,24,false
ord_f8fa2f46a797be12c98d2ec7,2017-12-16,PR,delivered,1,0,27.90,16.79,1,4,5.0,7,false
ord_d09494f08b3ab57eb35e1ff9,2017-12-18,PR,delivered,1,1,1899.00,97.32,1,10,1.0,42,true
ord_7cac13cd478bfefdf234c937,2017-12-25,PR,delivered,1,1,69.90,15.24,1,4,3.0,9,false
ord_f3d934f77c52dfdd3c68d8a6,2017-12-28,PR,delivered,1,1,27.99,15.10,1,4,3.0,21,false
ord_cef0b604c01f6011c795288c,2017-12-31,PR,delivered,1,1,124.99,17.31,2,1,1.0,15,false
ord_c6f59aa6eb79dece69e4921f,2018-01-03,PR,delivered,2,2,292.90,35.55,1,1,1.0,20,false
ord_a4c0249d50b2c5a7ef6f36a7,2018-01-06,PR,delivered,1,1,59.90,19.66,1,2,5.0,11,false
ord_1f6f0b0226ba60574dda3184,2018-01-08,PR,delivered,1,1,27.99,15.10,1,1,5.0,8,false
ord_8e26512148aca4c362ce43e6,2018-01-13,PR,delivered,1,1,90.90,45.10,1,10,5.0,16,false
ord_5a78961a82e4d44cb1353eca,2018-01-18,PR,delivered,1,1,35.90,16.79,1,1,5.0,8,false
ord_51251cdb3099268bb3b56c33,2018-01-21,PR,delivered,1,1,49.90,17.60,1,1,4.0,17,false
ord_756fe9be191f7d53d9495f9f,2018-01-22,PR,delivered,1,1,120.00,50.71,1,1,5.0,10,false
ord_a9550da2f0abe5534a93285b,2018-02-14,PR,delivered,1,1,94.90,17.91,1,2,5.0,14,false
ord_593ce6899e7bd6b5071262f7,2018-02-20,PR,delivered,1,1,61.80,16.68,1,1,5.0,7,false
ord_8523fd8863852190ec041ae1,2018-02-20,PR,delivered,1,1,82.90,17.25,1,1,1.0,3,false
ord_dc346a90d95319ba06b42a07,2018-02-20,PR,delivered,1,1,27.90,15.10,1,1,4.0,17,false
ord_c7dc55b8d1bdd63ee868ca98,2018-02-21,PR,delivered,1,1,88.89,15.37,1,1,5.0,13,false
ord_64b5df7aed31d7266e287662,2018-02-22,PR,delivered,1,1,63.00,25.28,1,1,5.0,13,false
ord_45590410e97e10675d3fed7b,2018-02-27,PR,delivered,1,1,129.00,18.15,2,1,1.0,24,true
ord_a2261dbbca86ab20d2d6b49a,2018-02-27,PR,delivered,6,1,45.78,90.66,1,6,5.0,8,false
ord_0c30494d63f6bc417612e506,2018-03-01,PR,delivered,1,1,19.90,12.48,1,1,4.0,6,false
ord_60d923464a0640e3dce3fd1d,2018-03-05,PR,delivered,1,1,105.00,26.81,1,1,3.0,28,false
ord_9f430e9b3dcc94895edbe6e0,2018-03-06,PR,delivered,1,1,699.90,20.87,1,6,4.0,13,false
ord_57659a14d01f140a053bc342,2018-03-12,PR,delivered,1,0,34.30,18.23,1,2,5.0,21,false
ord_21850520ad8b7a94101994a4,2018-03-13,PR,delivered,1,1,269.00,28.64,1,1,4.0,23,false
ord_4c5ae79a21f17affef575d7e,2018-03-17,PR,delivered,1,1,24.99,18.23,1,4,4.0,17,false
ord_dda301f18f499b43a86bd5d6,2018-04-01,PR,delivered,1,1,18.75,19.32,1,1,3.0,15,false
ord_357d323317ba26e302996350,2018-04-02,PR,delivered,1,1,123.90,22.58,1,1,1.0,9,false
ord_5d238dbf6bc7cc18a95e8326,2018-04-03,PR,delivered,1,1,9.90,7.71,1,1,5.0,6,false
ord_8a9a721a0bf5d46b831e5509,2018-04-04,PR,delivered,1,1,72.00,23.08,1,4,3.0,19,false
ord_70f039ecd90804bcdad40867,2018-04-09,PR,delivered,4,1,680.00,89.08,1,2,4.0,8,false
ord_d73f61df25264f5427335f4e,2018-04-11,PR,delivered,1,1,170.00,19.07,1,4,5.0,7,false
ord_bac10fd10ce31f37c5a9235e,2018-05-01,PR,delivered,1,1,79.90,19.53,1,3,4.0,14,false
ord_891eb2e720d202b61c30584c,2018-05-04,PR,delivered,1,1,62.00,23.01,1,4,1.0,10,false
ord_c5774f9f476474eabd9ce7e6,2018-05-04,PR,delivered,1,1,339.90,16.99,1,3,,6,false
ord_572027c63808126d37f68b19,2018-05-06,PR,delivered,1,1,51.45,18.24,1,1,3.0,9,false
ord_640bab142ff39659e395106a,2018-05-07,PR,delivered,1,1,13.65,18.23,1,1,5.0,10,false
ord_c5c2056cf2327798b87de59f,2018-05-07,PR,delivered,1,1,399.00,16.87,1,8,5.0,8,false
ord_18d2327887e764e8fea2153f,2018-05-08,PR,delivered,1,1,120.00,27.57,1,3,5.0,10,false
ord_abced14c6a800a00d1a5367b,2018-05-09,PR,delivered,1,1,320.99,22.71,1,3,4.0,6,false
ord_3aa4282da52964706a61f9b2,2018-05-14,PR,delivered,1,1,193.65,19.24,1,1,4.0,22,false
ord_43e9f460d9f518a2d388e9cc,2018-05-16,PR,delivered,1,1,99.90,14.27,2,1,5.0,5,false
ord_ae57239485a95b9fba4777bf,2018-05-23,PR,delivered,1,1,35.00,17.93,2,1,5.0,16,false
ord_fca39cea3f2fd320c26eca60,2018-05-30,PR,delivered,1,1,35.00,19.32,1,4,5.0,15,false
ord_eeb24504b0fcc217b5d6e413,2018-06-09,PR,delivered,1,1,2299.99,33.98,1,1,4.0,11,false
ord_1db8d5eee8cb4bfe30d05900,2018-06-11,PR,delivered,1,1,135.00,16.02,1,2,5.0,3,false
ord_03cba1a369d7bd5feeca4c2e,2018-06-17,PR,delivered,1,1,99.00,44.49,1,1,5.0,9,false
ord_089714f4625b30a26afe1183,2018-07-02,PR,delivered,1,1,18.90,18.23,1,1,4.0,7,false
ord_ed0f1fa2291dfdf1381f82e4,2018-07-05,PR,delivered,4,1,416.00,94.12,1,1,4.0,8,false
ord_01e66dd6e2b1436ade28722d,2018-07-11,PR,delivered,1,1,399.00,172.31,1,8,5.0,12,false
ord_2eb466d9cc9c6cd12eaf8638,2018-07-12,PR,delivered,1,1,119.99,15.94,1,4,4.0,11,false
ord_73f511154b5f3bb02a72d596,2018-07-15,PR,delivered,2,1,102.53,38.00,1,3,5.0,10,false
ord_52357534bb5a78e5275ead02,2018-07-20,PR,delivered,1,1,288.00,20.12,1,8,3.0,10,false
ord_624b15bc8b7381a53a4f4fd2,2018-07-23,PR,delivered,1,1,69.90,13.83,1,2,5.0,7,false
ord_90e55e437fff04d26a7ffcf6,2018-07-23,PR,delivered,1,1,39.90,18.08,1,5,3.0,5,false
ord_7ed28cd7d54c4a8f28ff3b54,2018-07-24,PR,delivered,1,1,99.90,15.00,1,2,3.0,7,false
ord_0cab3393987e4d8751c4def3,2018-07-27,PR,delivered,1,1,125.00,14.22,1,3,5.0,6,false
ord_c1895155a0cf3ce72978b1db,2018-07-27,PR,delivered,1,1,65.90,13.80,1,1,4.0,11,false
ord_a415af6dc7a38c41572d9c6a,2018-08-08,PR,delivered,2,1,136.00,39.34,1,4,5.0,7,false
ord_01058e51917a17f899452b52,2018-08-14,PR,delivered,1,1,55.00,15.49,1,1,5.0,6,false
ord_e50beb7494763e4e5b77f931,2018-08-15,PR,delivered,1,1,20.90,18.25,1,1,4.0,9,false
ord_937b88f28d8f9626d05b375c,2018-08-24,PR,delivered,2,1,49.98,36.56,1,1,5.0,6,false
ord_4c3a9d9e76bcc260908f6233,2017-03-09,RJ,delivered,2,1,89.80,28.22,1,1,5.0,11,false
ord_19cedfb9d1ff30d81d84c826,2017-04-13,RJ,delivered,1,1,34.90,14.52,1,1,1.0,36,true
ord_0d013e4559ca4045da311370,2017-04-24,RJ,delivered,1,1,119.99,17.58,1,1,4.0,24,false
ord_9139f482ee3efe9b80467b99,2017-05-05,RJ,delivered,1,1,19.99,14.52,1,1,3.0,24,false
ord_3200411d443f1a637c87d7a6,2017-05-15,RJ,delivered,1,1,89.15,15.38,1,1,5.0,8,false
ord_685a690f6c38268ca0ca5bd6,2017-05-21,RJ,delivered,1,1,89.90,15.38,1,10,4.0,10,false
ord_05340c4d40e87fe3837b91c3,2017-05-26,RJ,delivered,1,1,13.98,14.10,1,1,3.0,7,false
ord_3af4dea04b5acfa923953e5e,2017-05-29,RJ,delivered,1,1,65.00,16.89,1,4,3.0,9,false
ord_96e8b263a32d8fbc9732fa9b,2017-06-07,RJ,delivered,1,1,149.00,15.79,1,8,5.0,9,false
ord_8f91b02eb7988a7cec0dd780,2017-06-10,RJ,delivered,1,1,419.90,23.43,1,10,4.0,9,false
ord_71532d84232e8e081dcd07dd,2017-06-19,RJ,delivered,2,1,44.00,30.20,1,3,1.0,11,false
ord_8bffb2672706fb9bc2861bd1,2017-06-24,RJ,delivered,1,1,224.90,16.32,1,4,1.0,31,true
ord_e447cb525129d8218a4effbb,2017-06-26,RJ,delivered,1,1,69.99,17.74,1,2,4.0,10,false
ord_cca6b80973b9de014b22a09e,2017-07-06,RJ,delivered,2,1,70.78,28.20,1,4,5.0,8,false
ord_ac4971672af5e187184c3cc5,2017-07-08,RJ,delivered,1,1,79.90,15.31,1,2,5.0,23,false
ord_785c9145eaf8ddaf21c83219,2017-07-27,RJ,delivered,1,1,98.00,16.45,1,2,4.0,7,false
ord_06b79fdc423afc3bea9b2252,2017-08-02,RJ,delivered,1,1,99.90,17.95,1,1,1.0,9,false
ord_e471d65abf511789e6f7b654,2017-08-02,RJ,delivered,1,1,139.90,19.52,1,1,5.0,8,false
ord_abf12155ee69242e970c3616,2017-08-03,RJ,delivered,1,1,38.90,16.11,1,1,5.0,11,false
ord_0e7d5f48a0be69124c8fa155,2017-08-17,RJ,delivered,1,1,900.00,107.36,1,4,5.0,20,false
ord_524fef4debe1408f3c76e258,2017-08-21,RJ,delivered,5,1,143.50,78.94,1,2,5.0,4,false
ord_8ec9e017b3f17afdea091d95,2017-09-28,RJ,delivered,1,1,25.00,14.10,1,1,3.0,6,false
ord_3b3ca34a17b10afbd131a2d3,2017-10-03,RJ,delivered,1,1,129.00,25.74,1,2,4.0,27,false
ord_a61948c5d8bdc8e3e32367cb,2017-10-31,RJ,delivered,2,1,152.79,31.58,1,1,5.0,9,false
ord_09306a370469e1054c2b24ee,2017-11-06,RJ,delivered,1,1,149.99,40.38,1,1,5.0,10,false
ord_7d281e7491447eceb862e757,2017-11-07,RJ,delivered,1,1,99.90,18.27,1,1,5.0,11,false
ord_7d13860c5ab833928da6fb97,2017-11-13,RJ,delivered,1,1,137.90,38.81,1,3,5.0,11,false
ord_e19c8a8bdd210ab23257a391,2017-11-17,RJ,delivered,2,1,106.00,32.26,1,3,5.0,13,false
ord_053c4fad8a2839286f57cd43,2017-11-19,RJ,delivered,1,1,72.00,17.75,1,4,5.0,28,true
ord_cc00792087147b32cdf86c71,2017-11-24,RJ,delivered,1,1,99.99,12.15,1,7,5.0,11,false
ord_1ace46734b3f28aeaaf7abcf,2017-11-26,RJ,delivered,1,1,209.99,18.72,1,22,1.0,30,true
ord_d270924f297fb067679663c3,2017-11-26,RJ,delivered,1,1,74.90,16.28,1,1,1.0,41,true
ord_487eb253f00c1effa05fb042,2017-11-27,RJ,delivered,1,1,16.90,7.94,1,2,5.0,4,false
ord_9f3fabb683cdaa798958e601,2017-11-30,RJ,delivered,1,1,89.99,45.09,1,10,4.0,22,false
ord_ee772954bd329a8a9c9b9e41,2017-11-30,RJ,delivered,1,1,98.90,17.94,1,1,5.0,18,false
ord_138cf8d02164905877ae6959,2017-12-03,RJ,delivered,1,1,129.00,18.15,1,5,5.0,9,false
ord_ad43281336e8c84d4ae721e9,2017-12-03,RJ,delivered,1,1,39.50,15.10,1,1,4.0,23,false
ord_ebc9cdfea35cd2e9c5bc0d05,2017-12-06,RJ,delivered,1,1,118.00,14.58,1,5,5.0,8,false
